feature,importance
num__lag_packets,0.3400089477223475
num__ack,0.23489689921174556
num__bytes,0.212373996032361
num__psh,0.21233422114439723
num__d_packets,9.833497266947632e-05
num__d_bytes,9.261121195619478e-05
num__pps,7.557701844005322e-05
num__bps,7.553357005392137e-05
num__throughput,2.0027723179622834e-05
num__delta_ns,1.620133540063331e-05
num__rst,5.290866353977022e-06
num__dup_acks_est,2.3591768481359887e-06
num__flow_let,7.611899367275355e-12
num__fin,6.634818168255965e-12
num__syn,0.0
num__urg,0.0
